State,Year,District,Taluka,Pre-Monsoon Level (mbgl),Post-Monsoon Level (mbgl),Annual Recharge (MCM),Extractable Resource (MCM),Total Extraction (MCM),Extraction Stage (%),Groundwater Category,Area / Pocket,Subdivision
Maharashtra,2021,Pune,Pimpri-Chinchwad,6,2.2,83.5,79.33,52.8,66.56%,Safe,,
Maharashtra,2021,Pune,Maval,3.75,0.95,135.8,129.01,30.4,23.56%,Safe,,
Maharashtra,2021,Pune,Mulshi,3.4,0.8,112.5,106.88,21.8,20.40%,Safe,,
Maharashtra,2021,Pune,Velhe,3,0.6,79.8,75.81,10.25,13.52%,Safe,,
Maharashtra,2021,Pune,Bhor,4.4,1.4,100.5,95.48,35.2,36.87%,Safe,,
Maharashtra,2021,Pune,Purandar,7.75,4.05,108.2,102.79,83.4,81.14%,Semi-Critical,,
Maharashtra,2021,Pune,Baramati,9.35,5.4,145.8,138.51,150.2,108.44%,Over-Exploited,,
Maharashtra,2021,Pune,Run,8.25,4.45,122.4,116.28,100.4,86.34%,Semi-Critical,,
Maharashtra,2021,Pune,Indapur,8.95,5.1,158.6,150.67,161.5,107.19%,Over-Exploited,,
Maharashtra,2021,Pune,Shirur,8.65,4.75,139.5,132.53,124.2,93.71%,Critical,,
Maharashtra,2021,Pune,Khed,7,3.35,175.2,166.44,122.5,73.60%,Semi-Critical,,
Maharashtra,2021,Pune,Junnar,6.7,3.15,188.5,179.08,128.4,71.70%,Semi-Critical,,
Maharashtra,2021,Raigad,Alibag,4.45,1.35,95.8,91.01,31.8,34.94%,Safe (Saline Risk),,
Maharashtra,2021,Raigad,Karjat,5.5,2,117.5,111.63,41.5,37.18%,Safe,,
Maharashtra,2021,Raigad,Khalapur,5.35,2.15,89.9,85.41,47.8,55.97%,Safe,,
Maharashtra,2021,Raigad,Mahad,3.95,1.15,144.5,137.28,26.2,19.08%,Safe,,
Maharashtra,2021,Raigad,Mangaon,4.65,1.65,127.2,120.84,35.5,29.38%,Safe,,
Maharashtra,2021,Raigad,Mhasala,4.15,1.4,64.8,61.56,14.1,22.90%,Safe,,
Maharashtra,2021,Raigad,Murud,4.3,1.45,59.9,56.91,17.2,30.22%,Safe (Saline Risk),,
Maharashtra,2021,Raigad,Panvel,5.95,2.45,161.1,153.05,90.8,59.33%,Safe,,
Maharashtra,2021,Raigad,Pen,4.85,1.75,104.2,98.99,34.1,34.45%,Safe,,
Maharashtra,2021,Raigad,Poladpur,3.65,0.95,75.8,72.01,10.9,15.14%,Safe,,
Maharashtra,2021,Raigad,Roha,4.75,1.7,101.4,96.33,28.9,29.99%,Safe,,
Maharashtra,2021,Raigad,Shrivardhan,4.4,1.55,69.5,66.03,20.1,30.44%,Safe (Saline Risk),,
Maharashtra,2021,Raigad,Sudhagad,4.25,1.35,84.6,80.37,21.8,27.12%,Safe,,
Maharashtra,2021,Raigad,Tala,4.2,1.25,55.8,53.01,11.2,21.13%,Safe,,
Maharashtra,2021,Raigad,Uran,5.15,1.9,47.6,45.22,23.8,52.63%,Safe (Saline Risk),,
Maharashtra,2021,Ratnagiri,Dapoli,4.8,1.6,110.45,104.93,31.1,29.64%,Safe (Saline Risk),,
Maharashtra,2021,Ratnagiri,Mandangad,4.1,1.1,66.2,62.89,13.8,21.94%,Safe,,
Maharashtra,2021,Ratnagiri,Khed,5.15,1.7,131.4,124.83,36.5,29.24%,Safe,,
Maharashtra,2021,Ratnagiri,Chiplun,4.95,1.5,154.6,146.87,48.2,32.82%,Safe,,
Maharashtra,2021,Ratnagiri,Guhagar,4.3,1.35,85.2,80.94,22.4,27.67%,Safe (Saline Risk),,
Maharashtra,2021,Ratnagiri,Ratnagiri,5.4,1.9,142.8,135.66,55.1,40.62%,Safe (Saline Risk),,
Maharashtra,2021,Ratnagiri,Sangameshwar,4.6,1.4,158.5,150.58,32.15,21.35%,Safe,,
Maharashtra,2021,Ratnagiri,Lanja,4.5,1.3,90.65,86.12,20.4,23.69%,Safe,,
Maharashtra,2021,Ratnagiri,Rajapur,4.85,1.65,115.3,109.54,26.8,24.47%,Safe (Saline Risk),,
Maharashtra,2021,Sangli,Mirage,6.65,3.3,158.4,150.48,118.5,78.75%,Semi-Critical,,
Maharashtra,2021,Sangli,Wall,6,2.9,154.6,146.87,112.4,76.53%,Semi-Critical,,
Maharashtra,2021,Sangli,Tasgaon,8.3,4.7,106.5,101.18,96.5,95.37%,Critical,,
Maharashtra,2021,Sangli,Shirala,3.6,0.95,112.4,106.78,21.8,20.42%,Safe,,
Maharashtra,2021,Sangli,Plush,5.5,2.2,72.8,69.16,47.8,69.11%,Safe,,
Maharashtra,2021,Sangli,Time,6.3,3,85.4,81.13,61.2,75.43%,Semi-Critical,,
Maharashtra,2021,Sangli,Khanapur,7.55,4,92.1,87.5,73.1,83.54%,Semi-Critical,,
Maharashtra,2021,Sangli,Atpadi,8.9,5.2,63.5,60.33,65.4,108.40%,Over-Exploited,,
Maharashtra,2021,Sangli,Kavathe Mahankal,8.6,4.9,78.9,74.96,71.2,94.98%,Critical,,
Maharashtra,2021,Sangli,Jat,9.6,5.6,138.2,131.29,145.2,110.60%,Over-Exploited,,
Maharashtra,2021,Satara,Satara,6.5,2.7,140.2,133.19,82.4,61.87%,Safe,,
Maharashtra,2021,Satara,Karhad,6.95,3.25,168.5,160.08,122.1,76.28%,Semi-Critical,,
Maharashtra,2021,Satara,Wai,6,2.45,94.2,89.49,60.5,67.61%,Safe,,
Maharashtra,2021,Satara,Phaltan,9.1,5.1,142.6,135.47,125.4,92.57%,Critical,,
Maharashtra,2021,Satara,Koregaon,7.55,4.1,119.5,113.53,86.2,75.93%,Semi-Critical,,
Maharashtra,2021,Satara,Patan,3.75,1.05,155.3,147.54,26.8,18.16%,Safe,,
Maharashtra,2021,Satara,Khatav,9.6,5.6,112.4,106.78,112.5,105.36%,Over-Exploited,,
Maharashtra,2021,Satara,Man,10.1,6.15,103.6,98.42,105.4,107.09%,Over-Exploited,,
Maharashtra,2021,Satara,Khandala,7.25,3.8,79.5,75.53,56.4,74.67%,Safe,,
Maharashtra,2021,Satara,Jaoli,3.4,0.85,90.8,86.26,13.8,16.00%,Safe,,
Maharashtra,2021,Satara,Mahabaleshwar,3,0.65,66.4,63.08,6.2,9.83%,Safe,,
Maharashtra,2021,Solapur,North Solapur,8.6,4.9,91.2,86.64,68.4,78.95%,Semi-Critical,,
Maharashtra,2021,Solapur,South Solapur,9.05,5.2,108.5,103.08,85.2,82.65%,Semi-Critical,,
Maharashtra,2021,Solapur,Akkalkot,9.35,5.65,141.2,134.14,120.4,89.76%,Semi-Critical,,
Maharashtra,2021,Solapur,Barshi,8.1,4.35,158.4,150.48,114.5,76.09%,Semi-Critical,,
Maharashtra,2021,Solapur,Karmala,9.15,5.35,114.6,108.87,94.6,86.89%,Semi-Critical,,
Maharashtra,2021,Solapur,Madha,8.35,5.05,131.2,124.64,104.2,83.60%,Semi-Critical,,
Maharashtra,2021,Solapur,Malshiras,11.2,6.8,188.4,178.98,195.4,109.17%,Over-Exploited,,
Maharashtra,2021,Solapur,Mangalwedha,9.25,5.45,96.5,91.68,82.1,89.55%,Semi-Critical,,
Maharashtra,2021,Solapur,Mohol,7.8,4.05,112.4,106.78,78.5,73.52%,Semi-Critical,,
Maharashtra,2021,Solapur,Pandharpur,10.1,6.25,145.8,138.51,148.2,106.99%,Over-Exploited,,
Maharashtra,2021,Solapur,Sangola,10.45,6.4,105.3,100.04,107.5,107.46%,Over-Exploited,,
Maharashtra,2021,Thane,Thane,5.1,1.8,46.8,44.46,10.5,23.62%,Safe,,
Maharashtra,2021,Thane,Kalyan,5.8,2.3,69.5,66.03,21.1,31.95%,Safe,,
Maharashtra,2021,Thane,Bhiwandi,6,2.55,118.2,112.29,40.2,35.80%,Safe,,
Maharashtra,2021,Thane,Shahapur,4,1,161.4,153.33,23.4,15.26%,Safe,,
Maharashtra,2021,Thane,Murbad,4.3,1.2,114.8,109.06,20.1,18.43%,Safe,,
Maharashtra,2021,Thane,Ambernath,5.4,2,54.5,51.78,13.5,26.07%,Safe,,
Maharashtra,2021,Thane,Ulhasnagar,4.8,1.75,14.5,13.78,3.9,28.30%,Safe,,
Maharashtra,2021,Wardha,Wardha,6.5,2.8,122.4,116.28,68.45,58.87%,Safe,,
Maharashtra,2021,Wardha,Arvi,7.9,4.3,105.3,100.04,76.8,76.77%,Semi-Critical,,
Maharashtra,2021,Wardha,Ashti,7.1,3.65,68.4,64.98,41.1,63.25%,Safe,,
Maharashtra,2021,Wardha,Deoli,5.95,2.9,114.5,108.78,66.8,61.41%,Safe,,
Maharashtra,2021,Wardha,Hinganghat,6.2,3.1,134.8,128.06,81.4,63.56%,Safe,,
Maharashtra,2021,Wardha,Karanja,7.45,4.1,88.2,83.79,62.4,74.47%,Semi-Critical,,
Maharashtra,2021,Wardha,Samudrapur,5.4,2.2,92.6,87.97,39.85,45.30%,Safe,,
Maharashtra,2021,Wardha,Seloo,6.7,3.25,96.5,91.68,58.2,63.48%,Safe,,
Maharashtra,2021,Washim,Washim,6.7,3,110.5,104.98,73.8,70.30%,Semi-Critical,,
Maharashtra,2021,Washim,Malegaon,6.2,2.7,93.4,88.73,61.5,69.31%,Safe,,
Maharashtra,2021,Washim,Risod,7,3.4,114.2,108.49,80.6,74.29%,Safe,,
Maharashtra,2021,Washim,Mangrulpir,7.4,4,85.3,81.04,65.2,80.45%,Semi-Critical,,
Maharashtra,2021,Washim,Karanja,7.7,4.2,101.4,96.33,78.5,81.49%,Semi-Critical,,
Maharashtra,2021,Washim,Manora,6,2.4,81.6,77.52,43.8,56.50%,Safe,,
Maharashtra,2021,Yavatmal,Arni,6.45,3.25,109.8,104.31,74.8,71.71%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Babhulgaon,6,2.8,85.3,81.04,51.9,64.04%,Safe,,
Maharashtra,2021,Yavatmal,Darwha,7.3,4.1,114.6,108.87,86.8,79.73%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Digras,7.5,4.25,79.5,75.53,65.2,86.32%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Ghatanji,5.8,2.5,91.2,86.64,42.6,49.17%,Safe,,
Maharashtra,2021,Yavatmal,Kalamb,6.25,3.1,82.4,78.28,53.1,67.83%,Safe,,
Maharashtra,2021,Yavatmal,Kelapur,5.45,2.3,99.6,94.62,49.2,51.99%,Safe,,
Maharashtra,2021,Yavatmal,Mahagaon,7.1,3.85,110.8,105.26,83.1,78.95%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Maregaon,5.25,2.1,71.4,67.83,32.9,48.50%,Safe,,
Maharashtra,2021,Yavatmal,Ner,7.35,3.9,89.6,85.12,68.9,80.94%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Pusad,8.1,4.65,143.5,136.33,120.4,88.31%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Ralegaon,5.65,2.4,93.4,88.73,45.1,50.83%,Safe,,
Maharashtra,2021,Yavatmal,Umarkhed,7.8,4.3,129.5,123.03,105.6,85.83%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Wani,6.2,3,118.9,112.96,79.2,70.11%,Safe,,
Maharashtra,2021,Yavatmal,Yavatmal,6.8,3.5,123.6,117.42,89.4,76.14%,Semi-Critical,,
Maharashtra,2021,Yavatmal,Zari Jamani,5.05,1.85,65.2,61.94,22.6,36.49%,Safe,,
State,Year,District,Taluka,Pre-Monsoon Level (mbgl),Post-Monsoon Level (mbgl),Annual Recharge (MCM),Extractable Resource (MCM),Total Extraction (MCM),Extraction Stage (%),Groundwater Category,Area / Pocket,Subdivision
Maharashtra,2022,Ahmednagar,Akole,4.7,2.45,138.4,131.48,63.8,48.52%,Safe,,
Maharashtra,2022,Ahmednagar,Jamkhed,8.4,5.1,90.5,85.98,70.2,81.65%,Semi-Critical,,
Maharashtra,2022,Ahmednagar,Karjat,8.8,5.5,118.2,112.29,97.4,86.74%,Semi-Critical,,
Maharashtra,2022,Ahmednagar,Kopargaon,9.15,5.75,106.8,101.46,110.5,108.91%,Over-Exploited,,
Maharashtra,2022,Ahmednagar,Nagar,7.9,4.55,156.5,148.68,110.8,74.52%,Semi-Critical,,
Maharashtra,2022,Ahmednagar,Nevasa,6.05,3.05,171.2,162.64,100.4,61.73%,Safe,,
Maharashtra,2022,Ahmednagar,Parner,8.05,4.45,145.4,138.13,120.8,87.45%,Semi-Critical,,
Maharashtra,2022,Ahmednagar,Pathardi,8.2,4.75,104.6,99.37,84.15,84.70%,Semi-Critical,,
Maharashtra,2022,Ahmednagar,Rahata,9.35,5.9,94.5,89.78,99.2,110.49%,Over-Exploited,,
Maharashtra,2022,Ahmednagar,Rahuri,6.4,3.15,131.2,124.64,81.5,65.39%,Safe,,
Maharashtra,2022,Ahmednagar,Sangamner,9.5,6.05,161.8,153.71,159.2,103.57%,Over-Exploited,,
Maharashtra,2022,Ahmednagar,Shevgaon,6.15,3.1,112.4,106.78,69.5,65.09%,Safe,,
Maharashtra,2022,Ahmednagar,Shrigonda,7.95,4.35,151.6,144.02,128.4,89.15%,Semi-Critical,,
Maharashtra,2022,Ahmednagar,Shrirampur,5.95,2.85,101.2,96.14,63.8,66.36%,Safe,,
Maharashtra,2022,Akola,Akola,6.45,3.45,110.8,105.26,77.4,73.53%,Semi-Critical,,
Maharashtra,2022,Akola,Akot,7.9,4.15,142.4,135.28,110.5,81.68%,Semi-Critical,,
Maharashtra,2022,Akola,Telhara,7.45,3.9,96.5,91.68,80.8,88.13%,Semi-Critical,,
Maharashtra,2022,Akola,Balapur,5.75,2.95,84.1,79.9,51.45,64.39%,Safe,,
Maharashtra,2022,Akola,Barshitakli,5.15,2.75,115.4,109.63,64.2,58.56%,Safe,,
Maharashtra,2022,Akola,Murtizapur,5.95,3.15,122.3,116.19,70.8,60.93%,Safe,,
Maharashtra,2022,Akola,Patur,4.75,2.15,88.5,84.08,40.5,48.17%,Safe,,
Maharashtra,2022,Amravati,Achalpur,6.85,3.5,146.4,139.1,106.5,76.56%,Semi-Critical,,
Maharashtra,2022,Amravati,Amravati,7.45,3.95,122.5,116.38,90.8,78.02%,Semi-Critical,,
Maharashtra,2022,Amravati,Anjangaon Surji,8.3,4.9,110.8,105.26,100.4,95.38%,Critical,,
Maharashtra,2022,Amravati,Bhatkuli,5.6,2.85,92.5,87.88,53.1,60.42%,Safe,,
Maharashtra,2022,Amravati,Chandur Bazar,7.05,3.85,134.8,128.06,104.2,81.37%,Semi-Critical,,
Maharashtra,2022,Amravati,Chandur Railway,6.25,3.25,96.4,91.58,60.5,66.06%,Safe,,
Maharashtra,2022,Amravati,Chikhaldara,3.9,1.45,80.5,76.48,27.2,35.56%,Safe,,
Maharashtra,2022,Amravati,Daryapur,5.85,3.05,102.4,97.28,59.5,61.16%,Safe,,
Maharashtra,2022,Amravati,Dhamangaon Rly,6.55,3.45,108.5,103.08,73.1,70.92%,Safe,,
Maharashtra,2022,Amravati,Dharni,4.6,1.85,91.2,86.64,31.8,36.70%,Safe,,
Maharashtra,2022,Amravati,Morshi,9.6,5.6,150.5,142.98,156.4,109.39%,Over-Exploited,,
Maharashtra,2022,Amravati,Nandgaon Kh.,6.05,3.25,114.2,108.49,71.5,65.90%,Safe,,
Maharashtra,2022,Amravati,Tiosa,5.95,3.15,86.4,82.08,50.1,61.04%,Safe,,
Maharashtra,2022,Amravati,Warud,10.35,6.3,160.2,152.19,174.5,114.66%,Over-Exploited,,
Maharashtra,2022,Beed,Beed,7.8,4.5,142.6,135.5,102.3,75.50%,Semi-Critical,,
Maharashtra,2022,Beed,Georai,6.2,3.1,158.2,150.3,112.4,74.78%,Semi-Critical,,
Maharashtra,2022,Beed,Majalgaon,5.5,2.8,134.8,128.1,82.4,64.32%,Safe,,
Maharashtra,2022,Beed,Ambajogai,7.5,4.2,114.5,108.8,85.6,78.68%,Semi-Critical,,
Maharashtra,2022,Beed,Parli Vaijnath,7.2,4,96.5,91.7,72.1,78.63%,Semi-Critical,,
Maharashtra,2022,Beed,Dharur,6.8,3.5,68.3,64.9,48.2,74.27%,Semi-Critical,,
Maharashtra,2022,Beed,Ashti,8.2,4.9,122.4,116.3,104.5,89.85%,Semi-Critical,,
Maharashtra,2022,Beed,Kaij,7,3.9,118.6,112.7,91.5,81.19%,Semi-Critical,,
Maharashtra,2022,Beed,Patoda,8.5,5.2,84.1,79.9,74.5,93.24%,Critical,,
Maharashtra,2022,Beed,Wadwani,6,3.2,52.8,50.2,32.6,64.94%,Safe,,
Maharashtra,2022,Beed,Shirur Kasar,8,4.8,72.4,68.8,58.2,84.59%,Semi-Critical,,
Maharashtra,2022,Bhandara,Bhandara,5.15,1.95,116.8,110.96,52.8,47.58%,Safe,,
Maharashtra,2022,Bhandara,Tumsar,5.45,2.15,132.5,125.88,66.2,52.59%,Safe,,
Maharashtra,2022,Bhandara,Pauni,4.75,1.75,110.4,104.88,44.1,42.05%,Safe,,
Maharashtra,2022,Bhandara,Mohadi,5.75,2.35,94.8,90.06,50.8,56.41%,Safe,,
Maharashtra,2022,Bhandara,Sakoli,4.45,1.45,103.5,98.33,37.4,38.04%,Safe,,
Maharashtra,2022,Bhandara,Lakhani,4.95,2.05,86.4,82.08,39.8,48.49%,Safe,,
Maharashtra,2022,Bhandara,Lakhandur,4.15,1.35,120.5,114.48,43.5,38.00%,Safe,,
Maharashtra,2022,Buldhana,Buldhana,6.8,3.5,114.2,108.5,74.2,68.39%,Safe,,
Maharashtra,2022,Buldhana,Chikhli,7.5,4.2,145.6,138.3,114.5,82.79%,Semi-Critical,,
Maharashtra,2022,Buldhana,Deulgaon Raja,7,3.8,88.4,84,68.2,81.19%,Semi-Critical,,
Maharashtra,2022,Buldhana,Jalgaon Jamod,8.2,4.5,102.5,97.4,84.6,86.86%,Semi-Critical,,
Maharashtra,2022,Buldhana,Khamgaon,7.2,4,138.1,131.2,105.4,80.34%,Semi-Critical,,
Maharashtra,2022,Buldhana,Lonar,6.5,3.4,92.3,87.7,61.3,69.90%,Safe,,
Maharashtra,2022,Buldhana,Malkapur,6,3.2,82.7,78.6,52.1,66.28%,Safe,,
Maharashtra,2022,Buldhana,Mehkar,6.2,3,154.2,146.5,98.4,67.17%,Safe,,
Maharashtra,2022,Buldhana,Motala,6.9,3.6,96.4,91.6,64.8,70.74%,Safe,,
Maharashtra,2022,Buldhana,Nandura,7,3.7,89.5,85,62.4,73.41%,Semi-Critical,,
Maharashtra,2022,Buldhana,Sangrampur,8,4.4,78.9,75,66.2,88.27%,Semi-Critical,,
Maharashtra,2022,Buldhana,Shegaon,5.8,2.8,74.3,70.6,45.2,64.02%,Safe,,
Maharashtra,2022,Buldhana,Sindkhed Raja,7.4,4.1,112.8,107.2,89.5,83.49%,Semi-Critical,,
Maharashtra,2022,Chandrapur,Chandrapur,6.2,2.8,128.4,122,68.5,56.15%,Safe,,
Maharashtra,2022,Chandrapur,Ballarpur,6,2.5,45.6,43.3,22.4,51.73%,Safe,,
Maharashtra,2022,Chandrapur,Warora,6.8,3.2,142.3,135.2,92.6,68.49%,Safe,,
Maharashtra,2022,Chandrapur,Bhadravati,6.5,3,118.5,112.6,65.4,58.08%,Safe,,
Maharashtra,2022,Chandrapur,Chimur,5.2,2,165.2,156.9,72.1,45.95%,Safe,,
Maharashtra,2022,Chandrapur,Nagbhid,4.8,1.8,115.4,109.6,42.3,38.59%,Safe,,
Maharashtra,2022,Chandrapur,Bramhapuri,4.5,1.5,132.8,126.2,48.5,38.43%,Safe,,
Maharashtra,2022,Chandrapur,Sindewahi,5,2.1,98.6,93.7,38.2,40.77%,Safe,,
Maharashtra,2022,Chandrapur,Mul,5.1,1.9,102.4,97.3,41.6,42.75%,Safe,,
Maharashtra,2022,Chandrapur,Saoli,4.6,1.6,94.7,90,34.8,38.67%,Safe,,
Maharashtra,2022,Chandrapur,Gondpimpri,5.8,2.4,88.3,83.9,42.1,50.18%,Safe,,
Maharashtra,2022,Chandrapur,Rajura,7,3.5,112.1,106.5,68.4,64.23%,Safe,,
Maharashtra,2022,Chandrapur,Korpana,7.5,3.8,96.5,91.7,66.2,72.19%,Semi-Critical,,
Maharashtra,2022,Chandrapur,Pomburna,5.3,2.2,62.4,59.3,24.5,41.32%,Safe,,
Maharashtra,2022,Chandrapur,Jivati,7.8,4.2,58.9,56,26.8,47.86%,Safe,,
Maharashtra,2022,Chh. Sambhajinagar,Chh. Sambhajinagar,7.95,4.15,136.4,129.58,94.2,72.69%,Semi-Critical,,
Maharashtra,2022,Chh. Sambhajinagar,Kannad,8.35,4.45,130.2,123.69,100.4,81.17%,Semi-Critical,,
Maharashtra,2022,Chh. Sambhajinagar,Soygaon,6.6,3.25,66.8,63.46,35.2,55.47%,Safe,,
Maharashtra,2022,Chh. Sambhajinagar,Sillod,8.85,5.15,142.5,135.38,118.6,87.61%,Semi-Critical,,
Maharashtra,2022,Chh. Sambhajinagar,Phulambri,8.15,4.55,80.6,76.57,62.4,81.49%,Semi-Critical,,
Maharashtra,2022,Chh. Sambhajinagar,Khultabad,7.4,3.85,57.4,54.53,39.8,72.99%,Semi-Critical,,
Maharashtra,2022,Chh. Sambhajinagar,Vaijapur,10.45,6.25,120.5,114.48,126.8,110.76%,Over-Exploited,,
Maharashtra,2022,Chh. Sambhajinagar,Gangapur,9.6,5.7,125.8,119.51,112.4,94.05%,Critical,,
Maharashtra,2022,Chh. Sambhajinagar,Paithan,7.2,3.65,151.4,143.83,94.2,65.49%,Safe,,
Maharashtra,2022,Dharashiv,Dharashiv,8.2,4.6,134.5,127.78,108.4,84.83%,Semi-Critical,,
Maharashtra,2022,Dharashiv,Tuljapur,8.6,4.95,118.2,112.29,96.5,85.94%,Semi-Critical,,
Maharashtra,2022,Dharashiv,Umarga,7.8,4.1,110.4,104.88,88.4,84.29%,Semi-Critical,,
Maharashtra,2022,Dharashiv,Kalamb,8.1,4.3,125.1,118.85,94.6,79.60%,Semi-Critical,,
Maharashtra,2022,Dharashiv,Paranda,9.4,5.4,85.3,81.04,76.8,94.77%,Critical,,
Maharashtra,2022,Dharashiv,Bhum,7.1,3.6,76.5,72.68,52.1,71.68%,Semi-Critical,,
Maharashtra,2022,Dharashiv,Lohara,7.35,3.8,65.4,62.13,45.4,73.07%,Semi-Critical,,
Maharashtra,2022,Dharashiv,Washi,7.9,4.25,60.8,57.76,48.2,83.45%,Semi-Critical,,
Maharashtra,2022,Dhule,Dhule,7.2,3.8,148.6,141.2,108.4,76.77%,Semi-Critical,,
Maharashtra,2022,Dhule,Sakri,6.5,3.2,185.4,176.1,122.5,69.56%,Safe,,
Maharashtra,2022,Dhule,Shirpur,9.8,5.8,156.2,148.4,162.8,109.70%,Over-Exploited,,
Maharashtra,2022,Dhule,Shindkheda,8.5,4.8,124.5,118.3,105.6,89.26%,Semi-Critical,,
Maharashtra,2022,Gadchiroli,Gadchiroli,4.8,1.8,115.4,109.6,32.4,29.56%,Safe,,
Maharashtra,2022,Gadchiroli,Dhanora,4.2,1.5,148.6,141.2,22.1,15.65%,Safe,,
Maharashtra,2022,Gadchiroli,Chamorshi,4.5,1.6,185.2,175.9,58.4,33.20%,Safe,,
Maharashtra,2022,Gadchiroli,Mulchera,4,1.4,78.5,74.6,18.5,24.80%,Safe,,
Maharashtra,2022,Gadchiroli,Aheri,5,2,162.8,154.7,31.2,20.17%,Safe,,
Maharashtra,2022,Gadchiroli,Sironcha,4.8,1.9,128.4,122,28.6,23.44%,Safe,,
Maharashtra,2022,Gadchiroli,Etapalli,3.8,1.2,155.3,147.5,16.4,11.12%,Safe,,
Maharashtra,2022,Gadchiroli,Bhamragad,3.5,1,98.7,93.8,8.2,8.74%,Safe,,
Maharashtra,2022,Gadchiroli,Desaiganj,5.2,2.2,68.4,65,26.5,40.77%,Safe,,
Maharashtra,2022,Gadchiroli,Armori,4.9,2,94.6,89.9,31.4,34.93%,Safe,,
Maharashtra,2022,Gadchiroli,Kurkheda,4.4,1.7,108.2,102.8,21.6,21.01%,Safe,,
Maharashtra,2022,Gadchiroli,Korchi,4.1,1.4,82.5,78.4,11.2,14.29%,Safe,,
Maharashtra,2022,Gondia,Amgaon,5.05,2,90.8,86.26,39.8,46.14%,Safe,,
Maharashtra,2022,Gondia,Arjuni Morgaon,4.55,1.65,122.4,116.28,44.2,38.01%,Safe,,
Maharashtra,2022,Gondia,Deori,4.05,1.4,100.5,95.48,24.1,25.24%,Safe,,
Maharashtra,2022,Gondia,Gondia,5.3,2.15,145.8,138.51,70.8,51.12%,Safe,,
Maharashtra,2022,Gondia,Goregaon,4.8,1.9,86.4,82.08,35.2,42.88%,Safe,,
Maharashtra,2022,Gondia,Sadak Arjuni,4.45,1.6,94.6,89.87,31.2,34.72%,Safe,,
Maharashtra,2022,Gondia,Salekasa,3.9,1.25,76.5,72.68,17.5,24.08%,Safe,,
Maharashtra,2022,Gondia,Tirora,5.15,2.05,114.2,108.49,56.4,51.99%,Safe,,
Maharashtra,2022,Hingoli,Hingoli,6.85,3.55,112.4,106.78,80.6,75.48%,Semi-Critical,,
Maharashtra,2022,Hingoli,Basmath,7.6,4.1,134.5,127.78,104.2,81.55%,Semi-Critical,,
Maharashtra,2022,Hingoli,Kalamnuri,5.85,2.85,102.6,97.47,61.5,63.09%,Safe,,
Maharashtra,2022,Hingoli,Sengaon,6.25,3.1,96.5,91.68,62.4,68.06%,Safe,,
Maharashtra,2022,Hingoli,Aundha Nagnath,6.05,2.95,86.4,82.08,53.5,65.18%,Safe,,
Maharashtra,2022,Jalgaon,Amalner,7.5,3.8,118.5,112.6,88.4,78.51%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Bhadgaon,6.8,3.4,84.6,80.4,54.2,67.41%,Safe,,
Maharashtra,2022,Jalgaon,Bhusawal,6,3,62.4,59.3,41.5,69.98%,Safe,,
Maharashtra,2022,Jalgaon,Bodwad,6.5,3.2,74.2,70.5,48.6,68.94%,Safe,,
Maharashtra,2022,Jalgaon,Chalisgaon,8.5,4.8,158.4,150.5,134.8,89.57%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Chopda,7.8,4.2,142.6,135.5,122.4,90.33%,Critical,,
Maharashtra,2022,Jalgaon,Dharangaon,7,3.6,88.2,83.8,66.1,78.88%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Erandol,6.9,3.5,92.5,87.9,68.2,77.59%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Jalgaon,7.2,3.7,134.8,128.1,98.6,76.97%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Jamner,8,4.5,162.1,154,132.5,86.04%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Muktainagar,6.2,3.1,81.3,77.2,51.4,66.58%,Safe,,
Maharashtra,2022,Jalgaon,Pachora,7.1,3.5,110.4,104.9,78.2,74.55%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Parola,7.6,4,98.7,93.8,76.4,81.45%,Semi-Critical,,
Maharashtra,2022,Jalgaon,Raver,12.5,7.2,168.5,160.1,184.2,115.05%,Over-Exploited,,
Maharashtra,2022,Jalgaon,Yawal,11.2,6.5,145.2,137.9,152.6,110.66%,Over-Exploited,,
Maharashtra,2022,Jalna,Jalna,7.9,4.2,134.5,127.8,102.4,80.13%,Semi-Critical,,
Maharashtra,2022,Jalna,Badnapur,7.6,3.9,96.4,91.6,74.5,81.33%,Semi-Critical,,
Maharashtra,2022,Jalna,Ambad,8.3,4.8,142.8,135.7,121.2,89.31%,Semi-Critical,,
Maharashtra,2022,Jalna,Ghansawangi,6.7,3.4,128.6,122.2,82.4,67.43%,Safe,,
Maharashtra,2022,Jalna,Bhokardan,8.6,5.3,152.1,144.5,136.8,94.67%,Critical,,
Maharashtra,2022,Jalna,Jafrabad,8,4.6,89.2,84.7,72.1,85.12%,Semi-Critical,,
